project_id,industry_type,team_size,seniority_mix_junior,seniority_mix_mid,seniority_mix_senior,budget_planned_usd,budget_planned_inr,budget_actual_usd,budget_actual_inr,duration_planned_weeks,duration_actual_weeks,scope_change_count,client_type,employee_cost_ratio,attrition_events,weekly_burn_rate_variance,outcome_label
DELTA-0204,BFSI,26,0.145,0.612,0.243,245359,20487476,301723,25193870,11,11,3,time_and_material,0.543,1,0.089,on_track
DELTA-0205,Telecom,12,0.5,0.083,0.417,567213,47362285,642529,53651171,14,15,2,fixed_bid,0.652,0,0.092,on_track
DELTA-0206,Manufacturing,32,0.309,0.191,0.5,348985,29140247,383491,32021498,8,8,2,outcome_based,0.646,1,0.017,at_risk
DELTA-0207,EdTech,9,0.514,0.086,0.4,170698,14253283,223157,18633609,9,10,4,time_and_material,0.548,1,0.056,at_risk
DELTA-0208,Telecom,5,0.517,0.365,0.118,671403,56062150,1035027,86424754,8,10,3,fixed_bid,0.568,2,0.141,failed
DELTA-0209,Government,27,0.59,0.15,0.26,50000,4175000,65690,5485115,10,11,2,outcome_based,0.494,2,0.118,at_risk
DELTA-0210,Manufacturing,8,0.4,0.1,0.5,1260307,105235634,1721250,143724375,19,23,5,time_and_material,0.521,1,0.089,at_risk
DELTA-0211,Energy,5,0.506,0.092,0.402,50000,4175000,57447,4796824,11,11,3,fixed_bid,0.534,0,0.191,on_track
DELTA-0212,Energy,15,0.344,0.384,0.272,113053,9439925,130179,10869946,8,7,2,fixed_bid,0.575,0,0.071,at_risk
DELTA-0213,Manufacturing,12,0.206,0.544,0.25,191601,15998683,245066,20463011,10,11,3,outcome_based,0.59,2,0.018,at_risk
DELTA-0214,Energy,24,0.421,0.375,0.204,174236,14548706,248345,20736807,15,18,2,outcome_based,0.588,4,0.125,failed
DELTA-0215,Retail,25,0.508,0.085,0.407,491771,41062878,638152,53285692,18,21,2,outcome_based,0.6,2,0.086,at_risk
DELTA-0216,Manufacturing,15,0.475,0.38,0.145,76722,6406287,80641,6733523,8,8,0,outcome_based,0.59,0,0.027,on_track
DELTA-0217,Telecom,8,0.341,0.606,0.053,251372,20989562,289783,24196880,10,10,3,time_and_material,0.537,1,0.126,on_track
DELTA-0218,Manufacturing,17,0.402,0.44,0.158,118138,9864523,126395,10553982,14,14,2,fixed_bid,0.589,0,0.058,on_track
DELTA-0219,EdTech,16,0.597,0.099,0.304,259270,21649045,366763,30624710,8,9,3,outcome_based,0.602,2,0.08,failed
DELTA-0220,Energy,20,0.268,0.232,0.5,187532,15658922,272892,22786482,8,10,4,outcome_based,0.585,3,0.161,failed
DELTA-0221,Retail,8,0.495,0.25,0.255,216131,18046938,237571,19837178,15,14,3,time_and_material,0.509,0,0.113,on_track
DELTA-0222,Retail,11,0.6,0.26,0.14,121184,10118864,181122,15123687,13,16,1,time_and_material,0.619,3,0.136,failed
DELTA-0223,Government,20,0.571,0.344,0.085,125610,10488435,178911,14939068,10,13,2,outcome_based,0.576,4,0.242,failed
DELTA-0224,Telecom,31,0.127,0.451,0.422,257440,21496240,325517,27180669,8,9,2,time_and_material,0.496,4,0.112,at_risk
DELTA-0225,Healthcare,26,0.201,0.652,0.147,464791,38810048,560976,46841496,10,11,1,outcome_based,0.666,1,0.096,at_risk
DELTA-0226,Healthcare,15,0.513,0.259,0.228,116023,9687920,140653,11744525,8,9,4,fixed_bid,0.576,0,0.162,at_risk
DELTA-0227,Manufacturing,11,0.5,0.131,0.369,90954,7594659,115507,9644834,9,11,2,fixed_bid,0.671,1,0.123,failed
DELTA-0228,Government,18,0.249,0.579,0.172,345281,28830963,417829,34888721,8,8,2,outcome_based,0.599,1,0.15,at_risk
DELTA-0229,BFSI,7,0.22,0.28,0.5,193058,16120343,224091,18711598,8,8,2,outcome_based,0.574,0,0.045,on_track
DELTA-0230,Manufacturing,9,0.515,0.086,0.399,419764,35050294,463229,38679621,8,8,1,fixed_bid,0.581,0,0.089,on_track
DELTA-0231,Government,36,0.6,0.188,0.212,87972,7345662,120226,10038871,14,17,2,outcome_based,0.55,4,0.077,at_risk
DELTA-0232,Telecom,18,0.466,0.089,0.445,50000,4175000,56250,4696875,8,8,3,outcome_based,0.582,0,0.075,on_track
DELTA-0233,Telecom,12,0.359,0.373,0.268,123043,10274090,164554,13740259,9,10,2,fixed_bid,0.657,1,0.116,at_risk
DELTA-0234,Telecom,24,0.6,0.34,0.06,99736,8327956,111008,9269168,8,8,1,fixed_bid,0.552,0,0.053,on_track
DELTA-0235,Telecom,32,0.458,0.314,0.228,185181,15462613,257373,21490645,8,9,0,time_and_material,0.609,4,0.18,failed
DELTA-0236,Telecom,11,0.393,0.362,0.245,112065,9357427,137375,11470812,8,9,3,outcome_based,0.56,1,0.068,on_track
DELTA-0237,Government,11,0.506,0.149,0.345,387284,32338214,457840,38229640,8,8,3,time_and_material,0.58,0,0.146,on_track
DELTA-0238,Government,10,0.347,0.226,0.427,153378,12807063,200365,16730477,8,9,3,time_and_material,0.656,2,0.123,at_risk
DELTA-0239,Retail,26,0.353,0.394,0.253,227618,19006103,252273,21064795,11,13,2,outcome_based,0.596,0,0.049,on_track
DELTA-0240,EdTech,26,0.427,0.382,0.191,229090,19129015,324417,27088819,8,9,5,fixed_bid,0.618,2,0.075,failed
DELTA-0241,Healthcare,34,0.453,0.177,0.37,236915,19782402,340608,28440768,18,23,4,outcome_based,0.58,5,0.128,failed
DELTA-0242,Energy,27,0.145,0.776,0.079,194518,16242253,283838,23700473,14,18,5,time_and_material,0.681,4,0.169,failed
DELTA-0243,Telecom,5,0.469,0.089,0.442,314752,26281792,315618,26354103,13,14,0,outcome_based,0.539,0,0.125,on_track
DELTA-0244,BFSI,17,0.253,0.298,0.449,97140,8111190,137147,11451774,8,9,4,fixed_bid,0.508,3,0.142,at_risk
DELTA-0245,Energy,7,0.383,0.271,0.346,700448,58487408,979824,81815304,20,25,1,fixed_bid,0.649,2,0.103,failed
DELTA-0246,Government,10,0.547,0.294,0.159,160671,13416028,195055,16287092,8,7,4,time_and_material,0.559,0,0.069,on_track
DELTA-0247,BFSI,16,0.6,0.182,0.218,61059,5098426,84165,7027777,8,9,5,outcome_based,0.589,1,0.126,failed
DELTA-0248,BFSI,24,0.201,0.305,0.494,235452,19660242,279752,23359292,10,10,0,time_and_material,0.67,0,0.039,on_track
DELTA-0249,BFSI,8,0.465,0.429,0.106,92405,7715817,124540,10399090,11,13,1,outcome_based,0.602,1,0.101,failed
DELTA-0250,Retail,5,0.411,0.209,0.38,361783,30208880,489971,40912578,13,14,5,time_and_material,0.675,0,0.109,at_risk
DELTA-0251,Government,16,0.512,0.373,0.115,1452279,121265296,2259176,188641196,15,19,8,outcome_based,0.585,2,0.204,failed
DELTA-0252,BFSI,72,0.582,0.097,0.321,97937,8177739,146347,12219974,8,10,2,outcome_based,0.56,6,0.167,failed
DELTA-0253,Telecom,13,0.523,0.202,0.275,268105,22386767,321241,26823623,12,14,3,time_and_material,0.49,1,0.061,on_track
DELTA-0254,Manufacturing,15,0.494,0.095,0.411,50000,4175000,62162,5190527,11,11,2,time_and_material,0.591,0,0.096,on_track
DELTA-0255,BFSI,43,0.1,0.4,0.5,299094,24974349,352092,29399682,8,8,3,fixed_bid,0.513,1,0.124,on_track
DELTA-0256,Retail,21,0.244,0.463,0.293,89577,7479679,106987,8933414,8,8,2,fixed_bid,0.585,0,0.115,on_track
DELTA-0257,Energy,16,0.339,0.464,0.197,113283,9459130,128796,10754466,8,8,4,time_and_material,0.657,0,0.108,at_risk
DELTA-0258,Government,19,0.43,0.444,0.126,73779,6160546,88788,7413798,11,12,2,time_and_material,0.574,1,0.114,on_track
DELTA-0259,EdTech,17,0.247,0.404,0.349,384206,32081201,500487,41790664,19,23,1,outcome_based,0.585,3,0.096,failed
DELTA-0260,Retail,7,0.238,0.287,0.475,492167,41095944,647566,54071761,8,9,3,time_and_material,0.608,1,0.088,at_risk
DELTA-0261,BFSI,6,0.426,0.096,0.478,203017,16951919,225511,18830168,8,8,3,time_and_material,0.605,0,0.101,on_track
DELTA-0262,Government,46,0.385,0.216,0.399,91310,7624385,136734,11417289,8,9,5,outcome_based,0.626,4,0.115,failed
DELTA-0263,Manufacturing,16,0.4,0.533,0.067,831154,69401359,1084610,90564935,20,22,5,time_and_material,0.63,1,0.189,failed
DELTA-0264,BFSI,15,0.101,0.635,0.264,101177,8448279,124964,10434494,8,9,4,fixed_bid,0.517,1,0.047,at_risk
DELTA-0265,Retail,14,0.375,0.24,0.385,50000,4175000,56641,4729523,8,9,0,time_and_material,0.651,1,0.105,at_risk
DELTA-0266,Healthcare,23,0.138,0.646,0.216,300303,25075300,384633,32116855,12,13,2,time_and_material,0.565,3,0.064,at_risk
DELTA-0267,Telecom,68,0.383,0.308,0.309,73548,6141258,92916,7758486,8,9,4,time_and_material,0.582,3,0.144,at_risk
DELTA-0268,EdTech,20,0.343,0.157,0.5,483955,40410242,524646,43807941,8,9,1,outcome_based,0.59,0,0.028,on_track
DELTA-0269,Energy,10,0.317,0.183,0.5,141065,11778927,177447,14816824,8,9,1,fixed_bid,0.597,1,0.139,at_risk
DELTA-0270,Retail,13,0.21,0.426,0.364,342265,28579127,457294,38184049,18,23,2,outcome_based,0.542,3,0.092,failed
DELTA-0271,Government,28,0.6,0.339,0.061,701762,58597127,886751,74043708,14,16,3,time_and_material,0.526,2,0.11,at_risk
DELTA-0272,EdTech,10,0.395,0.2,0.405,66971,5592078,82918,6923653,8,9,1,time_and_material,0.623,1,0.129,at_risk
DELTA-0273,EdTech,24,0.286,0.372,0.342,119450,9974075,141329,11800971,8,9,3,outcome_based,0.565,2,0.025,on_track
DELTA-0274,EdTech,5,0.379,0.219,0.402,185701,15506033,196504,16408084,10,10,3,time_and_material,0.586,0,0.047,on_track
DELTA-0275,BFSI,12,0.188,0.631,0.181,793172,66229862,1109179,92616446,14,16,10,time_and_material,0.601,2,0.137,failed
DELTA-0276,Telecom,21,0.445,0.209,0.346,109914,9177819,150852,12596142,9,10,2,fixed_bid,0.611,3,0.091,at_risk
DELTA-0277,BFSI,31,0.238,0.711,0.051,116418,9720903,158694,13250949,9,11,2,outcome_based,0.668,1,0.123,failed
DELTA-0278,Government,9,0.118,0.741,0.141,305689,25525031,345271,28830128,14,14,3,time_and_material,0.589,0,0.01,on_track
DELTA-0279,BFSI,6,0.218,0.509,0.273,118242,9873207,136862,11427977,8,9,9,outcome_based,0.554,0,0.155,at_risk
DELTA-0280,Healthcare,12,0.6,0.181,0.219,228039,19041256,285127,23808104,8,10,3,time_and_material,0.638,1,0.121,at_risk
DELTA-0281,Telecom,7,0.127,0.373,0.5,50000,4175000,62338,5205223,8,8,2,outcome_based,0.613,1,0.172,at_risk
DELTA-0282,Telecom,13,0.156,0.625,0.219,1458467,121781994,1692554,141328259,8,8,2,time_and_material,0.59,0,0.016,on_track
DELTA-0283,Government,14,0.1,0.7,0.2,59104,4935184,64897,5418899,18,19,1,fixed_bid,0.581,1,0.118,on_track
DELTA-0284,Energy,6,0.413,0.403,0.184,148809,12425551,178299,14887966,13,15,2,outcome_based,0.577,1,0.039,at_risk
DELTA-0285,Healthcare,24,0.179,0.467,0.354,193062,16120677,236885,19779897,8,9,2,fixed_bid,0.581,1,0.106,at_risk
DELTA-0286,Retail,13,0.1,0.4,0.5,1111720,92828620,1427709,119213701,14,17,3,fixed_bid,0.574,1,0.061,at_risk
DELTA-0287,BFSI,28,0.6,0.212,0.188,60333,5037805,89707,7490534,8,9,2,outcome_based,0.543,4,0.13,failed
DELTA-0288,Manufacturing,5,0.5,0.083,0.417,1185095,98955432,1449302,121016717,23,25,1,fixed_bid,0.582,0,0.03,failed
DELTA-0289,BFSI,8,0.543,0.091,0.366,392958,32811993,512452,42789742,8,9,2,time_and_material,0.648,1,0.082,failed
DELTA-0290,EdTech,20,0.343,0.554,0.103,289348,24160558,314809,26286551,10,10,6,time_and_material,0.544,0,0.156,on_track
DELTA-0291,BFSI,9,0.215,0.481,0.304,81947,6842574,101659,8488526,8,9,2,outcome_based,0.564,0,0.074,on_track
DELTA-0292,Retail,13,0.392,0.493,0.115,332377,27753479,360636,30113106,14,14,1,time_and_material,0.554,0,0.027,on_track
DELTA-0293,BFSI,14,0.284,0.216,0.5,103659,8655526,124593,10403515,8,9,1,outcome_based,0.62,1,0.131,at_risk
DELTA-0294,Healthcare,16,0.197,0.542,0.261,621564,51900594,866017,72312419,8,10,3,time_and_material,0.606,3,0.05,at_risk
DELTA-0295,Healthcare,9,0.274,0.63,0.096,82954,6926659,101165,8447277,8,9,3,time_and_material,0.532,2,0.038,at_risk
DELTA-0296,Telecom,16,0.544,0.193,0.263,179540,14991590,208680,17424780,8,8,2,fixed_bid,0.494,2,0.038,on_track
DELTA-0297,Government,9,0.517,0.21,0.273,120602,10070267,141200,11790200,8,9,3,time_and_material,0.623,0,0.045,at_risk
DELTA-0298,Energy,22,0.551,0.094,0.355,81734,6824789,123344,10299224,15,19,3,time_and_material,0.52,5,0.119,failed
DELTA-0299,Manufacturing,13,0.563,0.094,0.343,387390,32347065,497017,41500919,8,10,4,outcome_based,0.615,1,0.103,at_risk
DELTA-0300,EdTech,16,0.141,0.359,0.5,321873,26876395,374247,31249624,8,8,4,time_and_material,0.545,1,0.096,on_track
DELTA-0301,BFSI,69,0.387,0.399,0.214,590136,49276356,856502,71517917,9,11,1,time_and_material,0.603,7,0.137,failed
DELTA-0302,BFSI,7,0.323,0.552,0.125,50000,4175000,55725,4653037,8,8,4,outcome_based,0.592,0,0.045,on_track
DELTA-0303,Retail,34,0.543,0.091,0.366,518011,43253918,697539,58244506,15,18,2,time_and_material,0.566,2,0.155,at_risk
DELTA-0304,Government,5,0.1,0.656,0.244,1895330,158260055,2580144,215442024,20,25,2,time_and_material,0.569,1,0.065,failed
DELTA-0305,Healthcare,5,0.275,0.507,0.218,132392,11054732,156516,13069086,10,11,4,fixed_bid,0.599,0,0.077,on_track
DELTA-0306,Manufacturing,7,0.226,0.645,0.129,1094309,91374801,1453504,121367584,12,14,4,outcome_based,0.56,0,0.053,at_risk
DELTA-0307,Telecom,7,0.588,0.098,0.314,156867,13098394,192339,16060306,9,9,2,fixed_bid,0.626,0,0.098,at_risk
DELTA-0308,Healthcare,16,0.5,0.083,0.417,57805,4826717,75222,6281037,11,13,5,time_and_material,0.571,2,0.177,at_risk
DELTA-0309,EdTech,17,0.229,0.485,0.286,150984,12607164,172649,14416191,8,9,0,time_and_material,0.601,1,0.048,on_track
DELTA-0310,Government,12,0.371,0.369,0.26,510621,42636853,621032,51856172,15,17,3,fixed_bid,0.555,1,0.053,on_track
DELTA-0311,EdTech,13,0.498,0.084,0.418,93492,7806582,111591,9317848,8,8,7,time_and_material,0.583,0,0.091,on_track
DELTA-0312,Energy,20,0.133,0.568,0.299,115808,9669968,136987,11438414,13,12,1,time_and_material,0.55,1,0.097,on_track
DELTA-0313,Telecom,24,0.6,0.308,0.092,339145,28318607,466025,38913087,9,11,1,time_and_material,0.563,4,0.108,at_risk
DELTA-0314,Energy,6,0.213,0.566,0.221,199337,16644639,200009,16700751,10,9,2,fixed_bid,0.47,0,0.04,on_track
DELTA-0315,Retail,11,0.258,0.489,0.253,336435,28092322,367635,30697522,9,9,0,outcome_based,0.563,1,0.058,on_track
DELTA-0316,EdTech,14,0.505,0.091,0.404,246236,20560706,294594,24598599,8,8,4,time_and_material,0.573,1,0.077,at_risk
DELTA-0317,Retail,19,0.5,0.083,0.417,306098,25559183,440205,36757117,11,14,4,outcome_based,0.583,3,0.172,failed
DELTA-0318,BFSI,9,0.6,0.183,0.217,134716,11248786,178814,14930969,11,13,2,time_and_material,0.662,1,0.078,at_risk
DELTA-0319,Energy,14,0.1,0.491,0.409,244888,20448148,280025,23382087,8,8,1,time_and_material,0.559,1,0.046,on_track
DELTA-0320,Government,15,0.181,0.631,0.188,86280,7204380,104181,8699113,15,16,1,outcome_based,0.627,1,0.018,at_risk
DELTA-0321,EdTech,9,0.1,0.522,0.378,633864,52927644,653172,54539862,8,8,2,time_and_material,0.539,0,0.054,on_track
DELTA-0322,Manufacturing,9,0.379,0.384,0.237,112325,9379137,163174,13625029,8,10,8,fixed_bid,0.526,2,0.097,failed
DELTA-0323,Telecom,15,0.278,0.228,0.494,549059,45846426,711685,59425697,11,12,3,fixed_bid,0.496,3,0.074,at_risk
DELTA-0324,Healthcare,13,0.306,0.523,0.171,161095,13451432,218974,18284329,10,11,2,fixed_bid,0.597,2,0.071,failed
DELTA-0325,Government,20,0.499,0.084,0.417,238422,19908237,376187,31411614,17,23,6,outcome_based,0.58,5,0.168,failed
DELTA-0326,Government,7,0.5,0.083,0.417,127329,10631971,177285,14803297,8,9,4,outcome_based,0.611,1,0.124,failed
DELTA-0327,Retail,12,0.585,0.185,0.23,79666,6652111,99757,8329709,8,8,2,time_and_material,0.595,1,0.186,at_risk
DELTA-0328,Energy,12,0.5,0.083,0.417,50000,4175000,61364,5123894,8,8,1,time_and_material,0.579,2,0.149,at_risk
DELTA-0329,EdTech,24,0.6,0.135,0.265,76895,6420732,114777,9583879,8,10,2,outcome_based,0.608,3,0.195,failed
DELTA-0330,EdTech,8,0.402,0.438,0.16,148521,12401503,174977,14610579,10,10,2,time_and_material,0.663,0,0.057,on_track
DELTA-0331,BFSI,17,0.393,0.483,0.124,240551,20086008,274214,22896869,17,18,1,fixed_bid,0.573,1,0.045,on_track
DELTA-0332,BFSI,17,0.589,0.232,0.179,493531,41209838,693612,57916602,11,15,1,fixed_bid,0.658,4,0.076,failed
DELTA-0333,Telecom,39,0.496,0.305,0.199,133094,11113349,166608,13911768,13,15,2,time_and_material,0.607,2,0.129,at_risk
DELTA-0334,Retail,8,0.469,0.088,0.443,89880,7504980,128542,10733257,11,13,4,time_and_material,0.609,2,0.083,failed
DELTA-0335,Government,10,0.579,0.098,0.323,54260,4530710,60513,5052835,8,9,1,time_and_material,0.597,0,0.042,on_track
DELTA-0336,EdTech,8,0.6,0.117,0.283,306219,25569286,338763,28286710,8,8,1,outcome_based,0.45,0,0.151,on_track
DELTA-0337,Manufacturing,5,0.238,0.262,0.5,690295,57639632,788083,65804930,13,13,5,time_and_material,0.564,0,0.131,on_track
DELTA-0338,Retail,42,0.411,0.17,0.419,621379,51885146,708745,59180207,8,7,5,time_and_material,0.554,0,0.068,on_track
DELTA-0339,Telecom,7,0.243,0.53,0.227,376600,31446100,469760,39224960,16,17,2,time_and_material,0.708,0,0.014,at_risk
DELTA-0340,Telecom,9,0.455,0.222,0.323,353164,29489194,416602,34786267,9,9,3,fixed_bid,0.557,0,0.06,on_track
DELTA-0341,Retail,32,0.583,0.097,0.32,916082,76492847,1276079,106552596,20,21,3,time_and_material,0.592,4,0.145,at_risk
DELTA-0342,Telecom,5,0.419,0.506,0.075,268035,22380922,288370,24078895,8,7,1,time_and_material,0.568,0,0.092,on_track
DELTA-0343,Retail,23,0.565,0.097,0.338,355583,29691180,401721,33543703,11,11,1,time_and_material,0.522,1,0.097,on_track
DELTA-0344,Healthcare,6,0.266,0.595,0.139,148939,12436406,173716,14505286,9,9,3,fixed_bid,0.549,0,0.066,on_track
DELTA-0345,Retail,31,0.402,0.151,0.447,58346,4871891,77741,6491373,8,10,3,outcome_based,0.617,3,0.108,failed
DELTA-0346,Energy,5,0.6,0.296,0.104,107423,8969820,116037,9689089,8,8,1,outcome_based,0.485,0,0.077,on_track
DELTA-0347,Retail,5,0.307,0.281,0.412,197157,16462609,207275,17307462,11,11,0,outcome_based,0.591,0,0.042,on_track
DELTA-0348,Telecom,10,0.124,0.54,0.336,209967,17532244,249641,20845023,8,8,2,fixed_bid,0.537,0,0.01,on_track
DELTA-0349,EdTech,26,0.261,0.566,0.173,1125409,93971651,1368482,114268247,9,10,2,fixed_bid,0.623,1,0.123,at_risk
DELTA-0350,Energy,14,0.557,0.093,0.35,213875,17858562,279490,23337415,15,18,2,time_and_material,0.601,2,0.091,at_risk
DELTA-0351,Telecom,12,0.247,0.587,0.166,574329,47956471,757289,63233631,15,17,4,outcome_based,0.512,2,0.1,at_risk
DELTA-0352,BFSI,33,0.565,0.267,0.168,134380,11220730,176705,14754867,8,9,7,fixed_bid,0.556,1,0.111,at_risk
DELTA-0353,BFSI,54,0.57,0.13,0.3,150165,12538777,240606,20090601,17,21,6,outcome_based,0.591,5,0.216,failed
DELTA-0354,EdTech,22,0.382,0.245,0.373,60107,5018934,64931,5421738,8,8,2,fixed_bid,0.567,0,0.04,on_track
DELTA-0355,EdTech,10,0.455,0.397,0.148,101916,8509986,120057,10024759,14,15,3,time_and_material,0.587,0,0.121,on_track
DELTA-0356,Energy,11,0.423,0.358,0.219,319426,26672071,367384,30676564,10,10,1,time_and_material,0.569,1,0.079,on_track
DELTA-0357,Healthcare,6,0.212,0.305,0.483,200146,16712191,197393,16482315,8,8,4,time_and_material,0.607,0,0.123,on_track
DELTA-0358,EdTech,15,0.561,0.308,0.131,464466,38782911,592550,49477925,20,22,3,outcome_based,0.593,1,0.106,at_risk
DELTA-0359,BFSI,5,0.53,0.271,0.199,234012,19540002,233109,19464601,14,13,0,time_and_material,0.572,0,0.011,on_track
DELTA-0360,Retail,20,0.399,0.288,0.313,144754,12086959,208208,17385368,8,10,5,outcome_based,0.592,4,0.12,failed
DELTA-0361,Telecom,49,0.137,0.506,0.357,1374316,114755386,2041408,170457568,20,24,8,time_and_material,0.542,6,0.137,failed
DELTA-0362,BFSI,22,0.171,0.431,0.398,182679,15253696,246040,20544340,8,10,3,outcome_based,0.639,2,0.12,at_risk
DELTA-0363,BFSI,11,0.504,0.208,0.288,566198,47277533,757191,63225448,15,17,3,time_and_material,0.693,1,0.063,at_risk
DELTA-0364,Healthcare,20,0.415,0.158,0.427,138539,11568006,171217,14296619,8,9,2,time_and_material,0.569,2,0.061,on_track
DELTA-0365,Energy,39,0.561,0.096,0.343,376487,31436664,468354,39107559,8,10,2,fixed_bid,0.59,2,0.093,at_risk
DELTA-0366,Energy,38,0.557,0.093,0.35,458270,38265545,560345,46788807,15,16,1,fixed_bid,0.62,1,0.079,on_track
DELTA-0367,Government,8,0.557,0.118,0.325,239819,20024886,274142,22890857,8,9,3,time_and_material,0.626,0,0.136,on_track
DELTA-0368,Healthcare,20,0.586,0.206,0.208,50000,4175000,68617,5729519,9,10,3,outcome_based,0.591,2,0.035,failed
DELTA-0369,Retail,13,0.535,0.382,0.083,202081,16873763,214532,17913422,8,9,2,fixed_bid,0.539,0,0.047,on_track
DELTA-0370,Energy,24,0.336,0.351,0.313,601639,50236856,870382,72676897,21,27,4,outcome_based,0.646,4,0.133,failed
DELTA-0371,Telecom,18,0.48,0.424,0.096,319570,26684095,384906,32139651,15,17,1,outcome_based,0.611,1,0.025,at_risk
DELTA-0372,EdTech,5,0.373,0.38,0.247,296930,24793655,335981,28054413,8,8,4,time_and_material,0.581,0,0.078,on_track
DELTA-0373,Healthcare,12,0.323,0.585,0.092,50000,4175000,53548,4471258,8,8,4,fixed_bid,0.556,0,0.025,on_track
DELTA-0374,EdTech,16,0.432,0.149,0.419,103942,8679157,121842,10173807,13,14,1,outcome_based,0.589,1,0.069,on_track
DELTA-0375,BFSI,6,0.35,0.44,0.21,287857,24036059,311806,26035801,19,21,3,time_and_material,0.515,0,0.082,on_track
DELTA-0376,Telecom,21,0.219,0.281,0.5,287605,24015017,376111,31405268,14,17,5,time_and_material,0.606,1,0.111,at_risk
DELTA-0377,Telecom,5,0.564,0.094,0.342,593148,49527858,681001,56863583,22,24,1,fixed_bid,0.612,0,0.035,at_risk
DELTA-0378,BFSI,9,0.498,0.084,0.418,174489,14569831,189247,15802124,8,9,1,time_and_material,0.58,0,0.105,on_track
DELTA-0379,Healthcare,33,0.487,0.424,0.089,286427,23916654,353358,29505393,8,9,3,outcome_based,0.545,2,0.108,at_risk
DELTA-0380,BFSI,8,0.161,0.4,0.439,201740,16845290,227505,18996667,8,8,1,outcome_based,0.61,0,0.071,on_track
DELTA-0381,EdTech,20,0.6,0.136,0.264,81777,6828379,98376,8214396,10,11,1,time_and_material,0.612,1,0.052,on_track
DELTA-0382,Government,5,0.505,0.096,0.399,50000,4175000,59757,4989709,8,8,6,time_and_material,0.542,0,0.134,on_track
DELTA-0383,Telecom,51,0.535,0.31,0.155,292994,24464999,372674,31118279,8,9,1,outcome_based,0.635,3,0.07,at_risk
DELTA-0384,Manufacturing,12,0.599,0.1,0.301,232478,19411913,336308,28081718,13,16,3,fixed_bid,0.636,2,0.102,failed
DELTA-0385,Manufacturing,15,0.263,0.341,0.396,113964,9515994,145173,12121945,14,16,3,outcome_based,0.565,1,0.107,at_risk
DELTA-0386,EdTech,16,0.547,0.114,0.339,50000,4175000,61462,5132077,8,9,2,fixed_bid,0.557,1,0.084,at_risk
DELTA-0387,Retail,21,0.555,0.092,0.353,350377,29256479,464622,38795937,8,9,2,fixed_bid,0.578,3,0.067,at_risk
DELTA-0388,Energy,5,0.42,0.188,0.392,156478,13065913,181758,15176793,12,13,0,outcome_based,0.545,1,0.032,on_track
DELTA-0389,BFSI,14,0.426,0.104,0.47,328137,27399439,471396,39361566,8,11,3,time_and_material,0.615,3,0.192,failed
DELTA-0390,BFSI,10,0.6,0.257,0.143,1064103,88852600,1535776,128237296,11,13,9,time_and_material,0.594,1,0.116,failed
DELTA-0391,Retail,5,0.6,0.104,0.296,50000,4175000,54397,4542149,13,15,0,outcome_based,0.625,0,0.048,at_risk
DELTA-0392,Retail,26,0.594,0.349,0.057,105911,8843568,137575,11487512,8,9,4,time_and_material,0.594,2,0.112,at_risk
DELTA-0393,EdTech,12,0.557,0.365,0.078,164647,13748024,199925,16693737,8,8,1,fixed_bid,0.608,1,0.052,at_risk
DELTA-0394,EdTech,17,0.266,0.678,0.056,736263,61477960,1167639,97497856,14,19,4,fixed_bid,0.58,5,0.141,failed
DELTA-0395,Retail,16,0.174,0.646,0.18,50000,4175000,60368,5040728,8,9,3,fixed_bid,0.573,1,0.067,at_risk
DELTA-0396,Telecom,12,0.258,0.47,0.272,1135149,94784941,1593468,133054578,19,24,0,time_and_material,0.56,3,0.176,failed
DELTA-0397,EdTech,48,0.413,0.359,0.228,224643,18757690,273435,22831822,8,8,0,fixed_bid,0.645,2,0.085,at_risk
DELTA-0398,Government,14,0.547,0.129,0.324,182334,15224889,226101,18879433,15,16,1,time_and_material,0.601,1,0.034,at_risk
DELTA-0399,EdTech,5,0.31,0.343,0.347,166332,13888722,238790,19938965,8,10,6,time_and_material,0.592,1,0.193,failed
DELTA-0400,BFSI,11,0.59,0.098,0.312,134237,11208789,166789,13926881,11,12,2,fixed_bid,0.5,2,0.094,at_risk
DELTA-0401,EdTech,20,0.355,0.448,0.197,510581,42633513,804310,67159885,14,20,4,fixed_bid,0.6,5,0.175,failed
DELTA-0402,Telecom,20,0.6,0.32,0.08,75988,6344998,94133,7860105,8,8,0,time_and_material,0.559,2,0.063,at_risk
DELTA-0403,Retail,7,0.206,0.673,0.121,271270,22651045,312556,26098426,8,9,3,time_and_material,0.523,0,0.126,on_track
DELTA-0404,BFSI,25,0.377,0.437,0.186,140679,11746696,195523,16326170,10,11,5,time_and_material,0.525,2,0.185,at_risk
DELTA-0405,EdTech,5,0.106,0.394,0.5,100115,8359602,118732,9914122,8,8,2,outcome_based,0.556,1,0.021,at_risk
DELTA-0406,Telecom,29,0.186,0.619,0.195,2037792,170155632,3075290,256786715,24,31,7,time_and_material,0.613,4,0.251,failed
DELTA-0407,Government,6,0.6,0.297,0.103,289857,24203059,327407,27338484,8,8,3,outcome_based,0.611,0,0.066,on_track
DELTA-0408,EdTech,12,0.435,0.115,0.45,345220,28825870,392204,32749034,8,8,1,time_and_material,0.535,1,0.153,on_track
